# Likely scene.json / project.json keys (camelCase identifiers, 3-28 chars)
# total matches: 1457 (incl. duplicates) | unique: 1133
# column 1: encoding (A=ASCII, U=UTF-16LE)  column 2: file offset  column 3: string
# NOTE: restricted to file-offset range 0x424e00..0x4da000 (data/read-only sections)

A 0x0048e748  fadeintime
A 0x0048e758  scalemin
A 0x0048e768  scalemax
A 0x0048e778  threshold
A 0x0048e788  deletethreshold
A 0x0048e798  endtime
A 0x0048e7a8  frequencymin
A 0x0048e7b8  frequencymax
A 0x0048e7c8  reductionouter
A 0x0048e7d8  speedinner
A 0x0048e7e8  speedouter
A 0x0048e7f8  centerforce
A 0x0048e808  variablestrength
A 0x0048e820  distanceinner
A 0x0048e830  distanceouter
A 0x0048e840  reductioninner
A 0x0048e850  separationthreshold
A 0x0048e868  neighborthreshold
A 0x0048e880  maxspeed
A 0x0048e890  separationfactor
A 0x0048e8a8  ringradius
A 0x0048e8b8  ringpulldistance
A 0x0048e8d0  ringpullforce
A 0x0048e8e0  ringwidth
A 0x0048e8f0  collisionbehavior
A 0x0048e90c  delete
A 0x0048e920  alignmentfactor
A 0x0048e930  cohesionfactor
A 0x0048e940  bouncefactor
A 0x0048e950  bounce
A 0x0048e964  screen
A 0x0048e970  orientation
A 0x0048e98c  radius
A 0x0048e9b0  uvscale
A 0x0048e9b8  segments
A 0x0048e9c8  fadealpha
A 0x0048e9d8  fadesize
A 0x0048e9e8  maxlength
A 0x0048e9f8  subdivision
A 0x0048ea08  uvsmoothing
A 0x0048ea18  uvscrolling
A 0x0048ea24  static
A 0x0048ea30  controlpointstartindex
A 0x0048ea48  parentcontrolpoint
A 0x0048ea5c  angles
A 0x0048ea68  probability
A 0x0048ea78  maxcount
A 0x0048ea88  operator
A 0x0048ea98  colorrandom
A 0x0048eaa8  hsvcolorrandom
A 0x0048eab8  colorlist
A 0x0048eac8  collisionmodel
A 0x0048ead8  upright
A 0x0048eae8  initializer
A 0x0048eaf8  sequencemultiplier
A 0x0048eb10  randomframe
A 0x0048eb20  emitter
A 0x0048eb28  renderer
A 0x0048eb38  colorchange
A 0x0048eb44  colorn
A 0x0048eb50  hascolor
A 0x0048eb60  animationmode
A 0x0048eb70  sizerandom
A 0x0048eb80  alpharandom
A 0x0048eb90  velocityrandom
A 0x0048eba0  inheritcontrolpointvelocity
A 0x0048ebc0  sphererandom
A 0x0048ebd0  boxrandom
A 0x0048ebe0  layerimage
A 0x0048ebf0  lifetimerandom
A 0x0048ec40  remapinitialvalue
A 0x0048ec58  inheritinitialvaluefromevent
A 0x0048ec78  turbulentvelocityrandom
A 0x0048ec90  rotationrandom
